open_time,open,high,low,close,volume
1.641E+12,46216.93,46949.99,46208.37,46813.2,3495.20465
1.64101E+12,46813.21,47555.55,46591.23,47194.73,3522.79888
1.64102E+12,47194.73,47344.69,46715.39,46758.87,2729.67811
1.64104E+12,46758.87,47491.14,46756.3,47219.04,3055.90946
1.64105E+12,47219.04,47954.63,47186.07,47329.78,4061.67681
1.64107E+12,47329.79,47814,47222.22,47722.65,2739.19534
1.64108E+12,47722.66,47750,47269.47,47329.47,2387.90724
1.6411E+12,47329.47,47415.73,46770.23,47173.45,3018.46827
1.64111E+12,47173.44,47499.45,46970.05,47235.5,2119.84865
1.64112E+12,47238.89,47447,47013.5,47340.47,2780.32874
1.64114E+12,47340.47,47990,46654,46907.68,5597.88593
1.64115E+12,46907.67,47469.34,46815.17,47286.18,2436.02157
1.64117E+12,47286.18,47289.11,46722.39,46793.26,2994.31942
1.64118E+12,46793.27,47211.09,46750,47051.37,2838.97703
1.6412E+12,47051.36,47431.67,46778,47378,4262.39073
1.64121E+12,47378,47570,46575.25,46693.45,5463.72051
1.64123E+12,46693.44,46790,46263.29,46360.01,5861.46189
1.64124E+12,46360.01,46576.94,45696,46446.1,6241.20752
1.64125E+12,46446.1,46549.19,45934.5,46313.97,3604.76267
1.64127E+12,46313.96,46600.21,45996.26,46550,5734.35172
1.64128E+12,46549.99,46772.41,46300,46733.77,4686.5322
1.6413E+12,46733.78,47557.54,46410,46925.35,8065.90334
1.64131E+12,46925.34,46984.99,45500,46052.36,9855.45649
1.64133E+12,46052.35,46428.27,45760.05,45832.01,3544.40718
1.64134E+12,45832.01,46549,45722.21,46422.55,3034.64069
1.64136E+12,46422.56,46527.39,46246.01,46407.51,2185.03432
1.64137E+12,46407.5,47070,46110,46270.99,5623.80527
1.64138E+12,46271,46822.17,45803.67,46622.53,6056.26257
1.6414E+12,46622.53,46674.37,44500,44685.93,13258.75934
1.64141E+12,44685.93,44847.99,42500,43451.13,21625.61638
1.64143E+12,43451.14,43816,42803.37,42835,7907.29623
1.64144E+12,42835,43275.8,42600.05,43245.25,7148.39091
1.64146E+12,43245.26,43273.87,42430.58,42878.34,7751.7942
1.64147E+12,42878.33,43267.09,42632.44,42950.01,7414.23595
1.64148E+12,42950.02,43508.78,42725.09,43438.1,5500.53168
1.6415E+12,43438.11,43581.3,43007.81,43082.31,3158.12408
1.64151E+12,43082.3,43145.83,41577.77,41803.11,9110.36283
1.64153E+12,41803.11,41950,41000,41706.71,12822.5044
1.64154E+12,41706.71,42883.47,41607.5,42258.62,7627.20984
1.64156E+12,42258.62,42766.17,40610,41319.11,13946.04637
1.64157E+12,41310.85,42315.85,40917.66,41775.38,7870.74271
1.64159E+12,41775.38,42054,41336.82,41566.48,3459.64203
